package_id,package_index,volume,source_file,start_page,end_page,tire_key,matched_tire_no,mapping_confidence,mapping_basis,alignment_score,tire_no_raw,size_raw,manufacturer_raw,brand_raw,construction_raw,load_range_raw,max_load_lb_raw,max_infl_psi_raw,aspect_ratio_raw,tra_rim_width_raw,shore_hardness_raw,run_no_raw,road_speed_mph_raw,water_depth_mil_raw,cold_infl_psi_raw,design_load_lb_raw,rim_width_in_raw,groove_depth_pct_raw,master_size,master_manufacturer,master_brand,master_construction,package_source_evidence_class,master_mapping_evidence_class
V06-P107,158,6,PB263445(1).pdf,107,114,TIRF-243,243,HIGH,sequence + strong metadata,105.33,24:;,2.05-15,M\,XW\A/,R.,B,i<pIO,::2 ': ...J_,74.7,cP.oo,( ) ~1.0,18S~ 70/,~O,"--""",2.4,B,~.oo,100,205-15,Michelin,XWW 2R+2S/2R,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V06-P115,159,6,PB263445(1).pdf,115,122,TIRF-244,244,HIGH,exact OCR tire number + sequence/metadata,163.81,2.44-,AI<. 75-~~,CO,":""lFE 5'TEEI.- ~\f..JE.~",R.,8.,\0'='0,~2.,17·3 I,4.50,"( ) 54,(,",7CD5 1795 B,BE ~O,-- R,2.4 F,8.,4.50 N,100 P,AR78-13,Cooper,Lifeliner Steel Radial 2P+2S/2P,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V06-P123,160,6,PB263445(1).pdf,123,130,TIRF-245,245,HIGH,exact OCR tire number + sequence/metadata,141.1,'2.45,,CO,""":;)TEEl- Lll=E.l.l""'-lER","I R, I",E>,\\50,32-,78.1-,4·50,"i ( ) 5(.,,:).8","1,89 ill B",. BB ~O,- R,2.4- F,E>,4.56 N,100 P,BR78-13,Cooper,Lifeliner Steel Radial 2P+2S/2P,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V06-P131,161,6,PB263445(1).pdf,131,146,TIRF-246,246,MEDIUM,sequence + partial metadata,81.67,'l4~,ER 1e-14,CO,L.tFeLlt-JE:.R ~TE.=L,DU - ~,B,\400,5'2 NOTATIONS,! 1l.4- I GT I,OY 5.00,KS ( ) I 54.~ I,laos 145 B,?>O BB,-- R,2.4- F,B,5.00 N,100 P,ER78-14,Cooper,Lifeliner Steel Radial,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V06-P147,162,6,PB263445(1).pdf,147,154,TIRF-249,249,HIGH,exact OCR tire number + sequence/metadata,185.08,249,HRi8-l4,CO,STE.E.L LIFE LINE.R,R,B,1170,32,I 'i(o.~,G..OO,( ) SSt.~,1&27 i4CD,~O,--,2..4-,B,"~,QO",100,HR78-14,Cooper,Lifeliner Steel Radial 2P+2S/2P,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V06-P155,163,6,PB263445(1).pdf,155,162,TIRF-250,250,HIGH,exact OCR tire number + sequence/metadata,102.0,'2.SO,,,,DU R,e,0,B NOTATIONS,14.5 GT,"GY (;,.00","KS ) 55,2 (",70S 1574- B,BB ~O,-- R,24 F,e,CD.oo N,100 P,GR78-15,Cooper,Lifeliner Steel Radial,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V06-P163,164,6,PB263445(1).pdf,163,170,TIRF-251,251,HIGH,exact OCR tire number + sequence/metadata,157.26,'2.S I,"l5-',S: ~R",Co,"t '-', :""'1, R.. RACIAL t= ""J~ ~TEEL",DU R,5,"1""1 0",NOTATIONS ~'2..,15.GP GT i,GY G.OO,KS ( ) 55.4,1851 G>93 B,?>O BB,- R,2..4- F,5,""""".00 N",lOX) P,I HR78-15,Cooper,Lifeliner Steel Radial,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V06-P171,165,6,PB263445(1).pdf,171,186,TIRF-251,251,HIGH,exact OCR tire number + sequence/metadata,135.0,'2..S'l.,"JR ""1&-15",CO,,i IIi,e,I B~o,2. ~,I 14.9,I G..So I,I S 4.1. ( ),"18""""67 ""'19 B",BB ~O,R -............,2.4 F,R &5,N ~.'5P,10.0 P,I HR78-15,Cooper,Lifeliner Steel Radial,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V06-P187,166,6,PB263445(1).pdf,187,194,TIRF-253,253,HIGH,sequence + strong metadata,109.14,2154,LR 78-15,C.O,L\ FE.I..\~E~ ~TE.E::L..,~,e,1970,32-,j:S.~,~-So,"( ) VAR) '5""5"";0","T~~\ ~,4","- ao """,-,:2.A.,e,<0-5:0,tOO,LR78-15,Cooper,Lifeliner Steel Radial,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V06-P195,167,6,PB263445(1).pdf,195,202,TIRF-255,255,HIGH,exact OCR tire number + sequence/metadata,149.65,2SS,,CO,'::>T£.EL.!<A.O\AL.. LIFELI~E~,R,B,,,", tS.~ j",tP.SO N,I ( ) 55.0,1l!>~'2. GJ'S,~O,-,24,B,,100,I LR78-15,Cooper,Lifeliner Steel Radial,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V06-P203,168,6,PB263445(1).pdf,203,210,TIRF-256,256,MEDIUM,sequence + partial metadata,78.59,1S(P,BR 10-13,OA,"DAYTON 'THOl:<OS""ED ~-:E..'-",R,e,: is:),"-- :. ,.",~B·l,S.SO,( ) 5'2..2-,1491 4\7,30,-,2.4-,e,S.SO,100,. BR70-13,Dayton,Dayton Thorobred Steel Radial XS,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V06-P211,169,6,PB263445(1).pdf,211,218,TIRF-258,258,HIGH,exact OCR tire number + sequence/metadata,149.38,'2 S 8,,DA,"DAY-:-o""-.l STE RAO EL",,,1400,32.,(09.9,I,"I ( ) , 57.~","-' ! -- , C,:'l ~7:;'. I",",, ao . ~ ~ ~ ~.",-,i 2.4-,,5.50,100,ER70-14,Dayton,Dayton Steel Radial XS,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V06-P219,170,6,PB263445(1).pdf,219,226,TIRF-259,259,HIGH,exact OCR tire number + sequence/metadata,139.25,'2..S9,:4 ;:: R. 10-,OA,STE.E.L Y.'S RA~!A.L,,e.,1500,"::::>. '"", -.<,-",,: :';.00 -,( ) 54.0,·I~o 510,- 30,-,24,e.,"(..:,.00",100,FR70-14,Dayton,Steel Radial XS,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V06-P227,171,6,PB263445(1).pdf,227,234,TIRF-260,260,MEDIUM,sequence + partial metadata,65.07,'2.~.),":0- 1,4- ,~~",OA,XS fZ.AD STEE.L I ~.'-,R,!3,1(Q':..O,"- - :z.,r:","G,9.3 .",G:t.OO,( ) S4.~,1~4~ S~&,~O,-,2.4,!3,<d..CO,100,GR70-14,Dayton,Steel Radial XS,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V06-P235,172,6,PB263445(1).pdf,235,242,TIRF-261,261,MEDIUM,sequence + partial metadata,68.25,'2<# \,H R 10- 14-,OA,A.t: R 1A.l... STEEL ')(~,R,B,""",0",3'2.,"G;,B·l",G.SO,"KS ( ) '2.. SG,.",/(050 5~ B,".- - - BB , ~O",-- R,2.4 F,B,N ~.SO,100 P,HR70-14,Dayton,Steel Radial XS .,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V06-P243,173,6,PB263445(1).pdf,243,250,TIRF-262,262,MEDIUM,sequence + partial metadata,67.82,"2(,'2.",",a-IS GiRo",DA,5Tee.L RA. lAl- 0,I 1<,B,I c.:.20,32-,<;e..4,I <0.00,I ) ( . S~.4- !,1590 SIt&>,". ......' ._. .... ', ~O",-,24,B,"G,.OO",100,GR70-15,Dayton,Steel Radial XS,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V06-P251,174,6,PB263445(1).pdf,251,258,TIRF-263,263,MEDIUM,sequence + partial metadata,82.52,'2.~:',"HR 10-1S .""",DA,STeEl.- T\-fO~05REC,R,6,1110,52..,<D8.<C,(P.so I,I ( 4- ) IS 5.,"1443 S(,~","_. . "".- ~O",-,2..4-,6,"G,.'=>O",100,HR70-15,Dayton,Thorobred Steel Radial XS,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V06-P259,175,6,PB263445(1).pdf,259,266,TIRF-264,264,HIGH,exact OCR tire number + sequence/metadata,189.03,'2.G:>4-,.JR iO-15,DA ..,RADIA.L. ~TE.E.L,R.,~,IB~O,,<08.(,(0.50,( ) 55.0,1~29 SSO,.. . .. ... ~ ?>O,--,2.4-,~,1'0.50,100,JR70-15,Dayton,Steel Radial XS,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V06-P267,176,6,PB263445(1).pdf,267,274,TIRF-265,265,MEDIUM,sequence + partial metadata,84.62,'2..G:lS,LR to·-IS,DA,~A.D\AL.)('=> ~Te.E.L,R,B,11310,"3""2-",<09.5,"G.,SO",( ) 55.0,1~o9 5'2.0,-. .- -...- - BO . '--'-~-'-,-,24,B,CD.SO,100,LR70-15,Dayton,SteeI Radial XS,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V06-P275,177,6,PB263445(1).pdf,275,290,TIRF-266,266,MEDIUM,sequence + partial metadata,76.83,'2.CP(P,"Ic""S~\~",DA,COMPACT FC>REI~~ ~,R,,\OlO,32,1<0.4,"4,50","( ) VAR) 5~,B",IsoO 4'2.S>,~- ?>O,-,24,,4-.SO,100,165R13,Dayton,Foreign & Compact Radial,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V06-P291,178,6,PB263445(1).pdf,291,298,TIRF-279,279,MEDIUM,sequence + partial metadata,66.67,2.19,15 ... \5 ~R,F\,RA.DIA.L OE~U')(..e:,..... K,t3,\970,52,15.9,.::a.SO,( ) &2.0,/835 7o~,~O,--,2.4,t3,~.50,100,LR78-15,Firestone,Radial Deluxe Champion,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V06-P299,179,6,PB263445(1).pdf,299,314,TIRF-280,280,MEDIUM,sequence + partial metadata,48.4,260,"S- (3 ::.""<, -,",U~,""":""0 M !:\ ~TE.E. Lt:.-~",R,E,'.5::>,":;2.r ,,""_ '-'""",'2. --: E>.,4.50,( ) 57.0,11'2.. I 78.~ J,. . ~O,--,2.4,E,4.'50,100,BR78-13,Uniroyal,Zeta 40 M Steel Radial,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V06-P315,180,6,PB263445(1).pdf,315,322,TIRF-284,284,LOW,sequence-dominant; weak OCR,24.55,""" (.... .... ~- ~",H K iE>-;S,'-)~,"- .... v: ',"" . c: ' .... ___ 9.-' ... , ,.:::'~t:: ...... ... """"_I ......",~',..... '::2,";""-11 ~",- .. I' . -==~,15.~·,~. ::).~,( ) •'2. =5':.,,":>0 ,",100,24,..... '::2,.r:;. ::>0,,HR78-14,Uniroyal,Steel Belted Radial,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V06-P323,181,6,PB263445(1).pdf,323,330,TIRF-285,285,MEDIUM,sequence + partial metadata,62.74,"2.e:,7","ie, .... :S ~K,",UN,eELTE.O :=STEEL,R.,:5,19io,3:,"""lS.~",~.SO,( ) S~.~,S'L I G'J,- . . ~ ~O,--,24,:5,<O.5e,100,HR78-15,Uniroyal,Steel Belted Radial PRG,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V06-P331,182,6,PB263445(1).pdf,331,338,TIRF-288,288,LOW,sequence-dominant; weak OCR,15.13,'L-b6,'-1 tZ .: ! E; A ..,U~,"l-::;)Vv <0 'v\.· 0 ;-,..:.~",:<,"r:2 ""-",'il~0,- -- ::<r,/' '--'r ..o j\O •,. .::)O ~,( ) 54.~,";45) ~-- ""::i~",- ~O,--,2.4,"r:2 ""-",",~,~:::""",100,HR78-14,Uniroyal,Snowplow,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V06-P339,183,6,PB263445(1).pdf,339,346,TIRF-289,289,MEDIUM,sequence + partial metadata,68.19,'LB9,!-iRIS-i=::.,1::' I ;,;:(ACtA.'_ STeEL-,R,:3,"il""7o","- r, ~.L-",7S.~,./.0. ::;; Q,"( ) c::,o.3",1&1: --c::.4 '::l_,". "" ~O",--,2.4,:3,~.O0,100,HR78-15,Firestone,Steel Radial 500,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V06-P347,184,6,PB263445(1).pdf,347,354,TIRF-290,290,MEDIUM,sequence + partial metadata,70.75,"r; Q-' .L..- -""",BR'le-le.,-. ~I- ;,r:< y DE:. 7:'::. A '- f~ ..~ ~.) ;--'4 :,R,"::z.. ""-",\ 1=~~,":? "" ~""'-","-; B,:'",4.50,( ) .4 5'2.,' 49-7 4'2.5,- . ~O,--,2.4-,"::z.. ""-",4.50,100,BR78-13,Firestone,Radial Deluxe Champion 5R/IR,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V06-P355,185,6,PB263445(1).pdf,355,362,TIRF-291,291,HIGH,sequence + strong metadata,96.22,'2.'3 j,'FRI8-i4,F=\,R:~D·..t-.L DE..i..UXE,R.,B,iSoo,52-,"""1'='.0",5·50,) 55.4 (,14~~ 391,-- - ~O,--,24,B,,100,FR78-14,Firestone,Radial Deluxe ·Champion 6R/2R,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V06-P363,186,6,PB263445(1).pdf,363,370,TIRF-292,292,LOW,sequence-dominant; weak OCR,33.19,:'9~,"~~R""'a._\4 -; ._.: \ i",=!,"C U ~;.. A S A,.,:-' E: '..... 'l(::::, I",::<,...... '2,"...-. r I '"" .;.. ..... , '..0",":;-.. ,~ -...i_",",- . ... - , r ""'-,-","..., .,,- ..... .-/ v::>. ~",( ) ::::.-- .:1 _.....::>- -,",s:,: 4-5'::::' ~",?;O,--,2.4,...... '2,(o.O~,100,OR78-14,Firestone,Radial Deluxe Champion 6R/ZR,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V06-P371,187,6,PB263445(1).pdf,371,376,TIRF-293,293,LOW,sequence-dominant; weak OCR,0.0,::> 2- 2.,,,,,,,,,,( ) VAR),"194~, ~l4",00,1.0 -fI-,24,,;;:0.00,100,HR78-14,Firestone,Radial Deluxe Champion 6R/2R,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V06-P377,188,6,PB263445(1).pdf,377,384,TIRF-293,293,LOW,sequence-dominant; weak OCR,33.75,'L9~,1A- HR l6-,r=l,XE.. 'A'_ VE RI>. :.. ~ ~j,K,B,".-- ! :_.... I ' , .-., I",3'7-,,·:'.~O,"_...--... ( ) VAR) ~.~ -."") ~","l i t;,~ S,~~-",~O,--,2.4,B,CO.OO,100,HR78-14,Firestone,Radial Deluxe Champion 6R/2R,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V06-P385,189,6,PB263445(1).pdf,385,392,TIRF-294,294,HIGH,exact OCR tire number + sequence/metadata,167.06,294-,18-\5 ~R,F\,"R A,.\.... 1:>...;:.', DE LU)(E:.",R,B,1G;2.Q,"......., ~.-","i4.,5,",G:>. :JQ,"( ) VAR) Ci:>O. ,::.",_.. Ie:- 9' 511,- . . ao -',-,2.4,B,"(P.O,:.,",t:OO,GR78-15,Firestone,Radial Deluxe Champion 6R/2R,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V06-P393,190,6,PB263445(1).pdf,393,400,TIRF-295,295,HIGH,exact OCR tire number + sequence/metadata,150.33,'2. 9·5,HI< lB-IS,F\,DE.LUXE. RAD\ A..L,~,,\110,"~""Z..","l5.G:,","a:,.OO",( ) 5-2..4,144-& 51!,-- - - - - ~O,--,2..4-,,G:?OO,100,HR78-15,Firestone,Radial Deluxe Champion 6R/2R,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V06-P401,191,6,PB263445(1).pdf,401,408,TIRF-296,296,LOW,sequence-dominant; weak OCR,34.19,"'-'~' , .4.. --.'?",",jR if:l.,""'\S",,":<A: :: \-\ 1_, E '1-, ~,'a_ I'~J . :; ::"",",k,8,"; B ""-, ~",3'2,"- , ;4. ':;:","I ~.S,() I","I ) ( S4.~, ,",.I I r-- • (0':5 ~ ~\o.,... 30,~,2.A.,8,"~~Ei:"")",100,JR78-15,Firestone,Radial Deluxe Champion 6R/2R,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V06-P409,192,6,PB263445(1).pdf,409,416,TIRF-298A,298A,MEDIUM,sequence + partial metadata,84.37,2'95 A,"L.-R i,e,-i5",Fl,"RAe' .:.•... :::E:L.UY..E: CHA~,~\ON",I l<- i,B,\91 0,~'Z.,", ! 15.9 !",. c:P.Sc>,( ) ! -- r i. .... :::>,"-- \ Sr ,. L~!",BO,100 -,2.4,B,<~.SO,,LR78-15,Firestone,Radial Deluxe Champion 6R/2R,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V06-P417,193,6,PB263445(1).pdf,417,424,TIRF-298B,298B,MEDIUM,sequence + partial metadata,75.86,B 2.~&,l8-IS L-R,FI,OE:L..UXE. RAD:AL..,R,";:;.,-",\9/0,".- =... ,:. ....",{5/~,"~,SO",( ) ~O.~,"·18~4 c;,7i",-ao - - -.. ..,~,. 24,";:;.,-",<:t>.E>O,100,LR78-15,Firestone,Radial Deluxe Champion 6R/2R,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V06-P425,194,6,PB263445(1).pdf,425,432,TIRF-300,300,MEDIUM,sequence + partial metadata,82.15,~OO,HRre-\4,FI,4: TOWN COLJt-J~y,R,B,\il0,:::a.n .oJ ...,"l"".~",(#.00,( ) S2.2-,)415\ 31CD,.. ~ ~ ~O,--,2.4-,B,~.OO,1.00,HR78-14,Firestone,Town & Country Radial 6R/2R,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V06-P433,195,6,PB263445(1).pdf,433,440,TIRF-301,301,HIGH,sequence + strong metadata,86.32,~Ol,H'< lB-15,Fl,"i Tov·J""-! COU~TRY",R.,~,1'110,5'2..,75.<0,CD.co,( ) VAR) 54-.lD,1G>18 5S5,. .- ~O,,24,~,~.OO,100,HR78-15,Firestone,Town & Country Radial 6R/2R,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V06-P441,196,6,PB263445(1).pdf,441,448,TIRF-302,302,HIGH,exact OCR tire number + sequence/metadata,139.67,302.,":0- ' :5 1"""""", .~ ,0(",Fi,:s SUFE;;::. '<:.AD; ::;C',;:<,&,\~:c},"-,., ~.:-","""""c:::;--- '-.A ..... f",~.0::',( ) VAR) 54.~,j ~'s. S'2..~,.. - ~O,100,2.4-,&,:ADO,,HR78-15,Firestone,Super 500 Radial 2P+2Aramid/2P,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V06-P449,197,6,PB263445(1).pdf,449,456,TIRF-303,303,MEDIUM,sequence + partial metadata,70.27,~Oo,~Rlo-15,FI,"6E.Ll""E.D STEE. L",l<,t:>,"\ cp'2,.a",3'Z.,"C"":,<?;.4-",G:>.Q:>,"( ) SI.e:,",:4cpO 5~5,. ~O,--,24-,t:>,"~.O,:)",100,GR70-15,Firestone,Steel Belted Radial 2P+2S/2P,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V06-P457,198,6,PB263445(1).pdf,457,464,TIRF-304,304,LOW,sequence-dominant; weak OCR,18.95,,/0 R. -IS 1-\,1 l=,"...- .... ...- -,...e,--' ~c:.' _."" \",,5,\/10,,,C>.50,) VAR) 51.0 (,"=."" .... 101'2.. _.:..:>",-- 50,--,2.4-,5,"<L,.SO",JOO,HR70-15,Firestone,Steel Belted Radial 2P+2S/2P,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V06-P465,199,6,PB263445(1).pdf,465,472,TIRF-305,305,MEDIUM,sequence + partial metadata,44.02,~J5,5 t5 'i?> I .:sR,r ... ' \ '-' v,5PL.,R,,\0\5,~~,14.'3,"..;..~ ,:)",( ) VAR) ~O.~,"!:S:J4 / "":.9"" ...-"" --r_",. ~O,--,24,,4.50,100,155 SR13,Dunlop,SP4 2R+2S/2R,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V06-P473,200,6,PB263445(1).pdf,473,480,TIRF-306,306,MEDIUM,sequence + partial metadata,52.0,oOCD,"I (,,:,S 10 ~R",DLJ,~P4-,I R,,1080,BG:J,"I (0.4- ""1",i 4.S~,I ( ) (04.4- I,1~~'7 S1S,"... - . , ~O",-,24,,4.5.:1,100,165 SRl3,Dunlop,SP4 2R+2S/2R,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V06-P481,201,6,PB263445(1).pdf,481,488,TIRF-307,307,MEDIUM,sequence + partial metadata,64.5,SOt,,DU,SP4,R,,'l.So I,,18.1,4.'50,( ) <D1..0,4-'2..4- !4~~,. . -. . ~ 00,-,24,,4.50,100,175 SRl3,Dunlop,SP4 ZR+ZS/ZR,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V07-P011,202,7,PB263446(1).pdf,11,18,TIRF-308,308,MEDIUM,sequence + partial metadata,50.61,~OB,\4- \(.pS 5~,DU,5P4,,,1200,3~,""".(","4.s0.,","( ) G,1.8",148?> 41~,"---""- - . ~O",-,2.4,,4_50,100,165 SRl4,Dunlop,SP4 2R+ZS/ZR,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V07-P019,203,7,PB263446(1).pdf,19,26,TIRF-309,309,HIGH,exact OCR tire number + sequence/metadata,157.95,309,\<. \ ICP6 S 5,DU,COP4,,,\ '2.00,,,4.150,,1G:J24 SG:75,"... SO """,,2.4,,,,165 SRl5,Dunlop,SP4 ~R+2S/2R,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V07-P027,204,7,PB263446(1).pdf,27,34,TIRF-310,310,HIGH,sequence + strong metadata,124.13,010,H 78-\5 ~,DU,ELITE. STEeL RADIAL,R,B,1110,32,15.CP,(#~oo-,( ) 59.~,! 441 ::'12-,"ao ."" .",-,24,B,<0 .. 00,100,HR78-15,Dunlop,Elite Steel Radial ~R+ZS+IN/ZR,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V07-P035,205,7,PB263446(1).pdf,35,42,TIRF-311,311,MEDIUM,sequence + partial metadata,45.76,,JR/8-IS,au,A. TEE.. t- E TE. L. \ S ~,,,'2. ~,,",4.9",(0.150,( ) ~'2.~,J~32 SS3,~ ~O,-,24,,cO.So,100,JR78-15,Dunlop,Elite Steel Radial I2R+ZS+IN,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V07-P043,206,7,PB263446(1).pdf,43,50,TIRF-312,312,HIGH,sequence + strong metadata,99.25,~t'2.,GrRio-\5,"G,",DUAL ~TeEL.. RA01A~,",. '. ,R .",'B,t~'Z.O,,,~.OO,,1812- 107,".. . •• "" _·r , ~ ~O",-,24,'B,,100,GR70-15,General Tire,Dual Steel Radial .2P+2S/2P,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V07-P051,207,7,PB263446(1).pdf,51,58,TIRF-313,313,HIGH,sequence + strong metadata,90.58,;f ~\~,'8-lS \41<.,GaT,DuAL 'STEEL ~AD\~~,R.,B,tilO,3'2.,G:>.oo,"75.""",( ) ~o.4-,184~ G>8t,ao . - .. ~,-,2.4,B,~.OO,100,HR78-15,General Tire,Dual Steel Radial ~R+2S/2R,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V07-P059,208,7,PB263446(1).pdf,59,66,TIRF-316,316,HIGH,sequence + strong metadata,87.66,"~\'""","R"" H 5-15",L.E.,"RADi A,L BE..LTE.O ~TEEL",R.,B,,,,~.OO,,. IG>\C4 5'2.i,", SO ~",---,24,B,"a,.OO",100,I I HR78-15,Lee,Radial Steel Belted 2P+4R+lS/2P,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V07-P067,209,7,PB263446(1).pdf,67,74,TIRF-317,317,HIGH,sequence + strong metadata,89.6,"5\-,",r'3 5R I~S,PI,"CFa"" CI~TlJRATO",".... ' ' • I ••• ,~ R",,lOBo,,1<0.4',","". 4,50 :",( ) 51.5,4.'2..9 !SOI,.. 50 ~,-,2.4,,4.s0,100,165 SRI3,Pirelli,CF 67 Cinturato .6R/2R,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V07-P075,210,7,PB263446(1).pdf,75,82,TIRF-318,318,MEDIUM,sequence + partial metadata,64.63,otB,"s l""l IS ~r::.",P\,"v,i C i=-",R,,1'2.50,,"1B. , '"" "" '",4.50,C ) VAR) &5 .. 0,'I<DS~ 515,' SO ~,-,24,,4.50,100,175 SRI3,Pirelli,CF 67 7R/2R,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V07-P083,211,7,PB263446(1).pdf,83,90,TIRF-319,319,MEDIUM,sequence + partial metadata,72.5,019,\(PS 15 5;<,PI,"CI NTtJRA,-rO ~e:,1",,,1'2. 00,". 5("" ,","1(P.4>' , ... ':';': ""","4.50 .'""","( ) VAR) G,S-B",1G:>~'2.. S41 i,-- ~O,-,24',,4.So,100,165 SRI5,Pirelli,"Cinturato 367 /', 7R/2R",Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V07-P091,212,7,PB263446(1).pdf,91,98,TIRF-320,320,MEDIUM,sequence + partial metadata,69.81,5'20,GR 10-\'5,PI,"eN ""13",,B,"\G;,'2.o """,,".. ' : .. (09.,4- . ' , ~ "" ""","(4,.00","( ) .e:, ~'2. .' 0,",'14S~:( ~84,". "". SO",-,2.4,B,(#.00,100,GR70-15,Pirelli,CN 73 2R+2S+IN,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V07-P099,213,7,PB263446(1).pdf,99,107,TIRF-321,321,MEDIUM,sequence + partial metadata,70.77,~~I,.. 1~OO-\4LT,:=\,"T·RA""'-l SPoRT \'",,,\3\0,,,5.00,",( ) VAR) . 59.0",1(054- 580,. BO ' ~,-,1I'~5,,,100,7.00-14LT,Firestone,Transport 110 N,Bias Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V07-P108,214,7,PB263446(1).pdf,108,115,TIRF-322,322,HIGH,sequence + strong metadata,85.63,~22.,".70-15 a, LT",Ft,"1'0 i T~AN""5Po~T",Ii B,", C",". lSSO ,",415,,", II 5.00","I, ( ) S~·~O I",", IS99 sse",-~ ~. .. ~O I,", <nl_~",~.g5,"S2'o i ,H . ,",5.00,100,6.70-15LT,Firestone,Transport 110 N,Bias Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V07-P116,215,7,PB263446(1).pdf,116,123,TIRF-323,323,HIGH,exact OCR tire number + sequence/metadata,170.11,3'2.3,LT \5 - (4.10,"FJ """,110 TRAI'-J~PORT,II B,", C","_, .. . I SSO",,,I 12.:.~O,( ) i 5S.w,I~OQ SE>'2..,""" ~ ~O I",:' ~,BS,", C",S.OO,100,6.70-15LT,Firestone,Transport 110 N,Bias Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V07-P124,216,7,PB263446(1).pdf,124,132,TIRF-324,324,HIGH,sequence + strong metadata,125.26,~24,7.00-\15 LT,F\,\\0 TRA.t>~SPORT,B,---- C.,1720,,,s.io,,J~04 SB~,SO ' ~.-,~,~S,---- C.,,tOO,7.00-15LT,Firestone,Transport 110 N,Bias Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
